Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
431200000,419100000,420200000,404900000,403100000,405500000
331900000,338200000,331700000,320100000,325500000,326700000
280300000,286700000,277400000,279700000,268200000,263300000
262900000,261900000,264500000,256700000,259400000,260000000
203100000,202500000,205600000,199400000,200900000,202500000
194400000,196800000,193300000,192400000,190400000,188500000
192500000,193600000,192100000,188400000,188200000,185800000
184000000,179700000,181700000,178800000,179200000,181100000
178000000,178300000,173300000,169900000,170800000,167800000
174600000,180500000,174600000,170600000,165400000,164200000
162700000,101200000,106600000,102700000,106000000,159200000
148100000,149100000,146000000,140500000,143100000,143200000
132000000,132400000,130600000,132200000,132600000,131600000
131800000,130700000,131100000,128600000,129100000,130200000
125400000,122800000,123300000,124200000,122700000,120600000
123700000,121800000,123400000,122500000,120400000,119400000
118200000,118100000,120500000,117100000,113900000,111100000
118100000,122400000,116400000,118100000,116200000,113700000
109600000,108000000,109100000,106200000,104800000,105200000
108200000,109000000,105900000,106300000,106900000,104600000
108000000,112500000,109400000,107400000,104600000,104600000
107000000,108200000,105500000,106900000,105500000,105000000
101000000,97290000,100000000,95120000,95490000,95280000
97900000,95500000,96520000,96870000,96200000,92670000
94860000,94300000,96080000,92900000,94280000,94080000
90980000,92160000,93220000,91550000,91240000,90800000
89120000,91170000,87170000,87690000,87010000,84390000
86770000,85710000,83550000,86780000,82220000,83060000
81300000,81060000,81930000,81100000,79750000,80160000
75340000,72570000,72860000,72860000,70530000,70490000
73670000,74640000,76090000,74930000,73210000,74070000
73620000,74450000,76730000,73470000,73660000,75060000
72140000,72900000,72730000,73340000,71650000,71690000
72080000,70540000,71840000,68090000,66710000,67090000
69680000,70220000,68760000,66690000,67640000,68260000
68190000,64970000,66940000,63810000,64460000,63840000
67800000,68670000,66420000,65520000,63700000,65930000
67050000,65100000,64290000,63780000,64020000,62490000
66710000,66740000,63360000,62560000,60370000,58580000
65130000,65710000,65020000,63420000,66230000,61600000
64900000,63220000,65730000,64790000,62720000,63920000
64050000,63240000,63070000,62650000,62510000,63210000
63220000,64910000,64650000,64060000,64320000,64810000
63010000,61560000,61670000,58710000,60030000,59120000
62790000,63020000,60020000,60250000,59760000,59170000
62550000,61900000,61720000,61420000,59220000,59820000
60730000,60190000,60240000,59110000,58400000,57270000
60570000,59120000,60410000,59230000,58960000,57300000
59450000,59640000,57920000,59420000,57630000,57740000
57600000,57100000,57360000,56160000,55440000,56740000
55640000,53870000,55160000,54820000,53620000,52840000
55060000,54150000,55900000,54610000,55480000,54360000
53260000,52750000,53740000,51360000,50760000,50930000
52790000,51960000,53120000,52440000,51580000,51310000
50340000,50540000,49980000,49680000,48460000,48510000
50260000,52370000,50360000,51370000,50520000,50020000
50120000,49960000,49750000,49760000,49150000,48530000
49810000,51190000,49840000,49910000,47620000,49680000
49000000,50070000,50330000,48380000,50000000,48950000
48640000,49630000,51940000,50000000,49560000,49380000
47400000,47790000,47720000,46450000,47080000,46420000
47300000,47050000,46840000,47250000,46500000,46190000
46640000,47230000,48110000,45880000,45730000,47120000
45880000,46410000,46920000,47510000,45960000,45890000
45860000,47250000,48400000,46020000,45760000,45660000
45390000,42220000,45620000,48000000,44770000,44130000
45110000,44170000,45590000,44990000,43220000,44350000
