Abundance Ratio: (126) / (129),Abundance Ratio: (127) / (130),Abundance Ratio: (128) / (131),Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
0.992,0.984,0.99,15650000,15700000,15850000,15780000,15960000,16010000
0.999,0.989,0.987,14060000,13910000,14010000,14080000,14070000,14190000
0.994,1.007,1.002,5236000,5348000,5318000,5270000,5310000,5309000
0.986,0.998,1.008,7153000,7146000,7271000,7251000,7160000,7213000
1.005,0.973,0.998,6057000,6031000,6187000,6029000,6196000,6196000
0.98,0.992,0.981,7973000,8089000,8084000,8140000,8157000,8243000
0.971,0.976,0.978,12820000,12890000,12760000,13210000,13210000,13050000
0.981,0.975,0.981,15990000,15980000,15960000,16300000,16380000,16270000
1.01,1.006,0.987,2662000,2722000,2683000,2634000,2705000,2718000
0.991,0.965,0.984,5753000,5752000,5822000,5808000,5964000,5917000
0.99,1.019,0.98,7481000,7653000,7332000,7555000,7512000,7480000
0.997,1.007,1.001,3098000,3196000,3148000,3108000,3175000,3145000
1.013,0.971,0.99,7078000,6961000,7036000,6985000,7167000,7108000
0.993,0.955,0.98,2166000,2140000,2199000,2182000,2241000,2243000
0.997,0.98,0.994,6791000,6640000,6805000,6815000,6773000,6848000
1.013,0.987,0.995,7231000,7204000,7201000,7141000,7298000,7237000
0.987,1.005,0.982,16580000,16920000,16710000,16800000,16830000,17030000
1.006,1.001,0.979,7093000,7158000,7054000,7049000,7152000,7207000
0.999,0.971,0.972,8215000,8133000,8162000,8223000,8380000,8395000
1.02,1.055,0.993,1671000,1770000,1688000,1638000,1678000,1699000
0.983,0.979,0.982,6310000,6400000,6434000,6418000,6536000,6555000
0.974,0.962,1.003,11200000,11190000,11390000,11500000,11630000,11350000
0.992,0.986,0.992,5235000,5172000,5248000,5277000,5247000,5290000
0.992,0.956,0.99,3286000,3232000,3341000,3313000,3382000,3374000
0.98,0.997,1.029,10010000,9817000,10140000,10210000,9850000,9858000
0.985,0.993,0.99,1353000,1367000,1377000,1374000,1377000,1391000
1.006,0.996,1.01,3014000,3014000,3075000,2995000,3026000,3045000
0.978,0.984,0.953,6785000,6710000,6743000,6939000,6819000,7077000
0.987,0.981,0.956,1362000,1383000,1360000,1381000,1410000,1423000
0.99,0.994,0.972,4394000,4364000,4430000,4436000,4390000,4558000
0.992,0.977,0.996,3708000,3737000,3789000,3739000,3826000,3804000
1.001,0.971,1.007,4581000,4546000,4634000,4575000,4682000,4604000
0.977,0.98,0.966,1176000,1202000,1191000,1203000,1227000,1234000
0.988,1.011,0.96,1388000,1442000,1405000,1405000,1426000,1464000
0.99,0.983,0.971,4600000,4650000,4572000,4647000,4732000,4707000
0.993,1.004,0.983,847300,862500,861200,853100,858800,876000
0.992,0.993,1.007,3791000,3786000,3796000,3822000,3811000,3772000
0.979,0.985,0.985,12710000,12800000,13020000,12990000,12990000,13220000
0.975,0.959,0.981,2131000,2111000,2219000,2186000,2201000,2262000
1.018,0.982,0.98,581800,585900,593400,571700,596900,605400
1.001,0.956,1.008,4949000,4878000,5014000,4944000,5105000,4976000
0.985,0.974,0.992,9081000,8945000,9169000,9216000,9182000,9241000
1.001,1.016,0.992,2211000,2286000,2211000,2209000,2249000,2230000
0.993,0.971,0.991,4791000,4718000,4781000,4823000,4859000,4824000
0.959,1.012,0.993,11230000,11700000,11540000,11710000,11570000,11620000
0.982,0.987,0.953,14200000,14180000,13910000,14460000,14370000,14600000
1.009,0.986,0.957,1987000,1984000,1978000,1971000,2012000,2068000
0.969,0.956,0.995,14110000,13950000,14260000,14570000,14600000,14330000
1.006,1.009,1.051,739500,739100,784800,735100,732300,746800
1.002,0.963,0.985,3803000,3679000,3845000,3794000,3822000,3901000
0.97,1.047,0.971,6052000,6181000,6036000,6240000,5902000,6216000
1.018,1.025,1.037,2262000,2288000,2272000,2223000,2233000,2190000
1.291,1.258,1.247,2660000,2645000,2656000,2061000,2102000,2130000
1.001,0.949,0.983,5788000,5562000,5787000,5780000,5860000,5889000
0.995,0.977,0.989,7036000,6928000,7011000,7070000,7094000,7087000
1.068,0.993,1.006,2452000,2379000,2419000,2295000,2396000,2404000
0.982,0.999,1.05,2862000,2875000,2972000,2914000,2878000,2831000
0.994,0.975,0.997,3681000,3656000,3681000,3703000,3749000,3691000
1.006,0.953,0.999,4583000,4500000,4589000,4556000,4720000,4593000
0.997,0.982,1.002,5191000,5179000,5234000,5205000,5272000,5226000
0.996,1.014,0.998,1053000,1073000,1068000,1057000,1059000,1070000
0.992,1.012,0.994,1212000,1216000,1232000,1222000,1202000,1239000
1.002,0.983,1.007,11470000,11160000,11380000,11450000,11360000,11300000
0.972,0.981,0.996,52660000,52460000,53520000,54170000,53480000,53730000
1.021,0.965,0.987,1105000,1075000,1112000,1082000,1113000,1127000
1.013,0.977,1.018,1156000,1162000,1175000,1141000,1189000,1154000
0.986,0.972,0.987,1246000,1236000,1248000,1264000,1272000,1265000
1.011,1,0.986,1358000,1355000,1356000,1343000,1354000,1375000
