wk2_control,wk2_control,wk2_control,wk2_control,wk2_control,wk2_CLas,wk2_CLas,wk2_CLas,wk2_CLas,wk2_CLas,wk10_control,wk10_control,wk10_control,wk10_control,wk10_control,wk10_CLas,wk10_CLas,wk10_CLas,wk10_CLas,wk10_CLas,wk14_control,wk14_control,wk14_control,wk14_control,wk14_control,wk14_CLas,wk14_CLas,wk14_CLas,wk14_CLas,wk14_CLas
4.6782,3.616,3.9274,4.1438,4.8258,3.9307,3.934,4.2454,5.57,5.5667,4.7798,5.1044,4.6782,5.5306,0.74089,5.3569,5.6355,0.2131,0.63929,8.8714,7.2189,7.6484,7.8582,6.0518,6.7272,8.0712,8.4974,6.9042,7.4353,7.2189
0.76738,2.0866,2.8051,2.5725,3.9221,2.4178,0.73694,2.4178,3.5043,3.117,2.8355,2.8355,3.6711,3.2533,1,3.6711,3.4178,3,0,4.6711,3.8916,5.7199,4.9221,6.3703,5.3398,4.3398,4.1851,5.9294,7.1072,2.9525
2.3038,2.3038,5.8397,6.3755,4.8397,3.8397,0.76793,6.6076,5.6076,6.6076,3.7679,2.7679,3.7679,4.7679,0,7.8397,1,1,0,6.3038,7.3755,11.679,8.9114,11.679,8.9114,11.447,10.447,12.447,10.679,9.6793
1.9765,1.9765,6.9061,7.8826,2.9296,8.8591,1.953,6.8826,1.953,3.9296,2.9765,3.9765,2.9765,5.9765,0,6.953,3,0,0,3.9765,8.8122,4.8826,7.8357,6.8357,5.8591,3.9061,1.953,8.8357,1.953,5.9061
0.49977,0.99954,2.9986,1.9991,1.4993,1.4993,0.99954,3.4984,2.9986,3.4984,19.494,13.997,17.995,13.497,7.4979,13.497,10.497,3.4993,2.9995,19.495,4.9977,4.9977,6.9968,5.9973,5.4975,5.9973,3.9982,5.4975,3.9982,6.4975
7.6213,11.27,4.6349,6.297,11.27,6.6213,11.608,11.27,10.27,8.2834,2.6485,3.9728,2.6485,1.9864,0,4.6349,1.3243,0,0,7.2834,13.905,12.58,15.891,14.905,20.54,11.918,11.918,19.215,14.243,13.256
4.7738,1.5095,3.2643,3.2643,3.2643,6.019,0.75475,4.2643,2.5095,4.2643,0,2,2,2,1,6.019,0,2.7548,2,3.5095,10.038,7.2833,8.2833,6.019,8.019,7.7738,6.7738,8.2833,7.5285,5.2643
1.3393,0.89286,2.7857,3.0089,1.8929,3.6786,1.1161,5.9018,4.0089,5.5714,1.7857,1.3393,1.3393,1.3393,1.1161,1.5625,2.2321,0.66964,0,2.0089,7.0179,6.3482,7.0179,4.3482,6.3482,6.4643,6.7946,6.4643,5.9018,4.3482
19.437,16.671,18.515,22.281,27.89,18.437,25.203,24.046,26.968,27.812,3.6874,2.7656,1.8437,3.6874,0,1.8437,3.6874,0,0,5.5311,56.78,49.171,44.483,37.03,31.499,45.483,43.64,37.952,44.561,46.483
2.111,1.4073,4.7529,5.5183,3.3456,5.5183,0.93822,8.8639,5.2838,8.1602,3.9874,2.3456,4.222,2.8147,3.5183,3.7529,4.222,0.70367,0.70367,4.6911,10.098,12.913,14.148,17.962,7.6293,9.2712,11.037,13.617,11.74,8.6293
8.8246,8.8246,8.7995,9.7995,12.724,8.8246,11.749,8.8246,7.8496,8.8246,1.9499,4.8747,14.624,0.97494,4.8747,12.674,0.97494,2.9248,0.97494,6.8246,16.674,19.599,20.574,21.549,17.649,16.674,17.649,20.574,21.549,21.549
2.8548,1.7096,5.5645,4.5645,3.8548,4.9919,1.2822,6.5645,3.7096,4.5645,1.7096,1.2822,1.7096,1.7096,0.85482,1.7096,1.7096,0,0,1.7096,7.2741,4.9919,8.4193,8.4193,5.8467,6.9919,5.5645,8.8467,1.7096,6.8467
2.9756,1.9837,4.9674,6.9511,4.9593,5.9674,1.9837,8.943,5.9593,4.9674,1.9837,4.9593,4.9674,5.9674,0.99186,2.9919,3.9674,0,0,3.9837,5.9593,7.9511,9.9349,14.91,9.9349,11.919,9.9349,13.91,8.943,12.91
1.7605,2.7605,4.521,4.6407,2.7605,4.521,0.88024,1.8802,2.7605,2.6407,7.042,3.521,7.9222,7.042,0.88024,7.042,4.4012,1.7605,0,8.8024,5.521,5.4012,5.521,6.521,4.521,4.521,2.6407,4.521,1.7605,2.6407
0,2.1913,2.6435,3.1913,1.0957,0.54783,6.3827,0,1.0957,1.6435,3,4.5478,4.0957,7.8348,9.6697,13.504,4,14.409,8.4783,4.1913,3.7392,4.8348,2.6435,3.8348,2.1913,2.0957,1.6435,5.3827,2.1913,2.7392
1.639,2,0.63901,2.278,1.639,2.278,0.63901,2.917,0,2.278,2.556,5.8341,5.195,2.917,4.556,2.556,4.4731,4.8341,1.278,2.556,3.917,3.917,4.556,4.556,2.278,3.917,4.556,5.8341,2.278,2.917
2.4424,1.7479,4.1711,5.5702,1.7479,4.8757,3.0192,4.1711,2.4766,1.7479,1.9403,2.6468,4.7479,7.9072,2,4.0192,0,0,0,6.5318,5.1903,6.9063,10.422,5.6134,4.9189,4.7671,3.4957,6.6134,4.2244,3.7329
10.751,7.4751,9.9536,10.158,13.078,10.533,3.9199,18.229,13.25,16.273,4.9757,4.1976,5.1661,5.3907,0.65113,7.579,4.6685,0.71461,0.43409,11.724,28.177,30.165,25.002,27.88,24.131,29.602,25.461,32.864,23.572,20.947
3.3115,2.5233,3.5233,4.0812,1.5406,4.4087,1.6378,4.1784,1.213,5.4886,2.7882,1.2303,2.5579,1.3276,0,1.3276,2.2303,0,0,2.213,8.8001,8.5698,8.0651,6.8521,2.8867,5.3115,2.0013,6.932,3.5419,4.0638
7.334,14.763,6.4291,6.5243,7.334,7.334,17.478,9.1437,3.6194,7.2389,1.8097,4.5243,8.1437,1.8097,0.90486,6.334,1.8097,0.90486,0.90486,3.6194,22.002,9.0486,11.858,12.858,19.287,20.192,11.953,17.383,14.668,13.668
1.447,1.3645,3.6937,3.6937,3.6937,4.6583,0.96464,4.5759,3.129,4.4935,4.0536,3.447,2,5.0183,0,3,0.96464,1,2,3.447,6.9465,8.1048,10.075,8.1048,5.858,4.8934,7.1401,8.1872,3.2114,9.0688
2.3154,2.8805,4.1898,2.2885,2.8355,2.72,5.0586,4.6401,3.7081,5.6296,2.3028,1.0063,1.4868,2.6382,0.67086,2.6382,2.4078,0,0,3.9799,7.1833,8.052,5.1364,6.381,7.2274,6.7196,5.6254,6.8431,5.7233,5.505
12.301,10.624,12.321,13.295,15.283,12.207,5.856,14.24,12.504,13.349,4.6737,6.4051,5.5712,6.6135,0.84573,8.5052,11.239,0.84573,0,14.85,21.045,22.831,19.863,24.344,23.582,25.61,32.406,34.3,25.061,30.133
12.205,5.8113,5.7736,10.623,5.7736,9.6603,6.3429,15.61,8.6981,6.7736,7.3051,5.7736,4.8113,1.9245,0,6.7358,3.849,0,0,8.6603,14.472,14.509,11.585,13.116,10.66,12.547,15.472,20.422,4.849,13.509
8.5218,7.1015,6.4312,9.3515,8.5218,7.1015,8.6812,9.3515,7.1812,8.5218,1.75,3.25,5,3.1703,0,9.8406,2.5,0,0.6703,4.6703,13.612,15.703,17.283,16.373,17.123,15.623,13.533,15.703,15.544,14.283
4.2359,2.6179,5.0448,5.8538,2.4269,4.0448,1.6179,6.6627,2.4269,5.0448,1.6179,2.4269,1.6179,6.4717,0.80896,1.6179,2.4269,0,0,4.8538,11.517,14.76,11.517,9.8986,6.6627,11.708,9.0896,14.134,8.2807,8.2807
2.81,5.6834,3.81,3.7467,3.7467,3.7467,9.4301,0.93667,3.7467,2.81,0.93667,1.8733,1.8733,2.81,1.8733,1.8733,0.93667,4.6834,3.7467,3.7467,8.5567,7.5567,5.7467,4.7467,8.4301,3.7467,5.62,5.6834,5.62,7.4934
0.662,0.83035,9.6301,8.4617,1.4923,5.477,2.3227,11.94,5.6441,10.784,4.8137,5.4757,7.1364,3.9834,4.1517,15.103,1.6607,7.4731,8.3035,0.83035,13.263,13.937,22.061,14.106,15.936,15.107,6.4744,15.263,4.8137,8.1364
1.4295,0.71473,7.7913,7.1319,5.6471,7.399,0,9.5251,6.8095,8.627,3.1531,2.8589,2.8589,4.7929,1.4295,3.7986,4.0781,0.71473,2.1442,5.0031,11.775,12.38,11.706,14.651,10.52,14.277,14.208,17.581,10.328,15.887
2.9886,4.7818,0,1.2167,1.8144,0.59772,2.9886,1.7932,2.3909,1.7932,0,1.8144,4.2266,1.2167,2.9886,6.5962,1.7932,1.8144,2.9886,3.0312,2.3909,4.1841,2.3909,2.3909,2.4122,2.9886,3.5863,4.1841,5.9772,1.7932
4.3765,2.5009,4.3765,4.3765,4.7513,6.6269,0,8.5026,5.6269,7.8774,1.8756,1.2504,3.1261,2.5009,2.5009,2.5009,2.5009,0.62521,0,4.3765,10.629,13.13,10.003,10.629,9.753,12.879,13.254,12.879,13.504,12.879
1.3088,1.0405,3.9002,3.4556,2.6176,1.8291,1.8291,2.2475,2.5914,1.8291,5.3267,2.0599,3.4332,4.6401,0.68663,4.4737,3.4332,0,0,6.0743,2.8696,2.8696,3.3899,2.0811,4.1784,2.8696,2.8696,3.3899,3.6581,2.3493
5.4946,4.8245,4.8303,5.0097,5.3614,4.674,2.3255,5.5017,8.4928,8.4928,2.46,2.46,2.952,2.46,0.98399,2.952,2.952,0.492,0,3.4658,14.807,15.65,12.458,12.122,12.511,12.971,11.848,14.135,9.4755,10.131
7.2309,4.218,7.8334,4.8206,4.8206,6.6283,4.8206,7.8334,6.0257,9.0386,3.4103,2.4103,1.8077,4.6154,0.60257,7.8334,4.218,0,0,6.0257,10.846,12.654,11.449,16.269,9.0386,12.051,12.654,12.654,12.654,9.6411
1.9073,3.0658,0.84994,2.9579,0.82464,2.108,2.9579,1.366,0.54132,1.366,1.6493,1.3913,2.5498,2.5498,1.6999,3.0911,1.9832,1.1333,1.4166,3.3745,2.7825,2.4739,3.1906,1.9073,1.3407,2.1906,1.9073,2.4739,1.366,2.1906
1.705,2.5675,3.5675,3.42,3.4101,2.5675,0.85252,6.1251,2.5576,6.1251,3.4399,1.7249,2.5774,4.3023,1.715,4.2924,1.7249,0,0,2.5874,9.3976,6.1251,7.9776,9.5352,12.093,10.398,6.84,5.135,4.2725,7.6926
2.1942,0.70403,2.1121,2.1531,2.1531,1.4081,1.4081,2.8571,1.4081,2.1121,2.8161,2.1121,1.4081,4.2242,0.70403,2.1121,2.8161,1.4081,0,3.5612,2.8982,4.2652,5.7553,4.2652,2.1121,5.0103,4.2652,4.9692,4.2652,2.8571
4.2158,3.6136,3.0113,3.6136,6.0226,3.0113,6.0226,2.4091,6.6249,1.8068,1.2045,1.8068,2.4091,0.60226,1.2045,2.4091,1.8068,0.60226,0,3.6136,6.6249,5.4204,5.4204,6.6249,10.238,4.8181,11.443,7.8294,6.0226,7.2272
10.162,7.7807,13.791,11.184,13.033,13.719,9.4444,12.671,12.366,12.922,4.9949,5.4742,4.2841,6.0277,0.97639,9.5587,4.1458,0.53688,0,12.4,19.878,20.186,24.587,19.742,21.522,19.978,21.855,21.736,20.448,23.514
5.817,0,6.4227,5.6198,3.2113,9.634,0,8.8312,5.6198,4.0142,3.2113,2.4085,4.817,4.0142,4.0142,5.6198,3.2113,1.6057,0,4.817,10.437,13.648,14.648,10.437,11.24,12.845,13.648,15.254,10.437,15.254
3.0982,2.213,2.213,2.213,3.5408,2.213,1.7704,2.213,3.0982,2.213,0,1.3278,1.3278,1,1.3278,1.7704,3,0.8852,0.8852,2.3278,3.5408,4.8686,5.7538,5.7538,4.8686,5.3112,4.8686,5.7538,5.3112,4.426
3.0441,5.3272,3.8051,4.5662,6.0882,3.0441,6.8493,3.8051,3.0441,3.0441,0,3.0441,8.3713,0,13.699,16.743,0,17.504,15.982,6.8493,7.6103,4.5662,3.8051,8.3713,5.3272,6.0882,9.1323,6.8493,8.3713,6.8493
3.9124,3.7461,2.2232,2.4945,4.2068,2.7385,5.7023,2.6882,3.7188,3.7188,1.4639,1.2199,1.5186,0.97594,0.73196,3.8347,1.2199,0.97594,1.2199,3.4518,6.4847,5.7254,5.1827,5.5361,4.5897,6.0471,7.6816,6.2407,5.4267,5.942
4.8775,9.0581,2.7871,4.8775,4.1807,2.7871,5.5742,4.8775,3.4839,9.7549,0.69678,2.7871,2.0903,2.0903,4.1807,2.0903,0,5.5742,0.69678,1.3936,11.845,13.936,11.148,13.239,4.8775,8.3614,1.3936,7.6646,6.271,2.0903
1.7043,1.2842,3.2271,2.807,2.5488,3.3857,1.4078,3.2587,2.283,2.4219,1.0021,1.8672,1.8749,2.1441,0.86415,2.715,1.142,0.14658,0.29316,2.1527,3.961,5.5613,6.1084,6.6511,4.8448,5.3472,5.2485,6.2363,4.2968,6.3666
5.1549,6.7639,5.2507,7.5205,7.8988,8.2771,6.0528,5.0136,5.2507,5.7702,2.2698,2.2698,2.6481,6.2898,1.5132,5.2962,0.61532,0.3783,0,4.7766,10.547,11.021,9.412,8.9379,11.303,10.169,8.04,10.925,6.1485,9.2707
3.8659,3.792,3.9285,5.084,4.1299,4.8132,2.4628,5.095,2.3248,3.4419,2.9164,2.6714,2.1653,3.1747,0.13988,4.4659,3.1943,0.1289,0,3.3221,8.2184,7.432,8.1016,8.5556,4.9074,7.2909,3.4525,8.2743,4.9087,5.021
4.8194,4.3813,7.01,6.1338,6.5719,6.5719,5.6956,6.1338,6.1338,7.4481,1.3144,1.3144,1.7525,3.0669,1.7525,7.01,0,0.43813,0,1.3144,12.706,14.02,15.773,13.582,10.515,11.829,10.077,12.268,11.829,14.458
4.1818,2.1032,4.0281,4.3929,2.5957,3.752,2.3896,5.1998,3.8366,4.8918,2.6122,1.8476,3.3573,2.7153,0.92841,1.3509,3.0347,0.22258,0,3.7468,8.928,10.414,9.3897,8.4386,5.6995,8.4717,7.7955,10.664,7.2658,6.2167
2.4035,2.6438,1.6824,2.1631,2.1631,3.1245,0.4807,3.3649,1.6824,2.1631,1.9228,1.4421,1.2017,1.2017,0.9614,2.4948,1.6824,1.2017,0.24035,3.1245,5.0473,5.0473,3.6052,4.5666,3.1245,4.807,3.8456,5.7684,4.3263,2.8842
3.9018,2.787,2.787,2.787,4.4592,2.787,2.2296,2.787,3.9018,2.787,0,1.6722,1.6722,0,1.6722,2.2296,0,1.1148,1.1148,1.6722,4.4592,6.1314,7.2462,7.2462,6.1314,6.6888,6.1314,7.2462,6.6888,5.574
4.2793,2.1967,4.9736,7.1132,3.6421,6.419,0.75123,8.5017,2.8909,5.7818,1.3884,1.3884,2.0827,2.7769,1.3884,2.7769,4.2223,0,0,3.4711,9.2529,8.6727,7.8075,9.3669,4.2793,10.755,10.118,12.144,7.9785,7.1703
4.7479,4.1544,5.9349,3.5609,7.1219,5.3414,6.5284,4.1544,5.9349,4.7479,0,4.1544,3.7595,2.4732,0,5.0458,2.374,1.187,0,7.3204,7.1219,7.7154,7.7154,9.4958,12.463,8.3088,13.65,8.3088,10.089,11.276
4.6223,5.0075,3.4668,5.7779,6.1631,6.5483,6.1631,3.852,3.4668,4.6223,2.3112,2.3112,2.6964,5.7779,1.5408,5.3927,0,0.3852,0,4.2372,8.8595,8.0891,7.7039,8.4743,9.6299,8.4743,6.9335,9.2447,5.0075,6.9335
5.2659,4.5136,6.3943,6.0181,5.2659,7.5227,4.5136,6.0181,4.5136,5.642,1.8807,3.0091,1.8807,3.7613,0.75227,1.1284,1.8807,0,0,3.0091,11.284,9.4033,12.036,10.156,9.7795,10.532,9.7795,12.036,9.7795,11.284
2.7115,3.6153,1.2051,2.109,1.5064,1.8077,3.6153,1.8077,1.2051,2.7115,0.60256,4.8205,6.3269,0.90384,5.423,9.3397,0.90384,8.7371,8.1345,3.0128,4.5192,3.9166,2.4102,2.4102,2.109,3.0128,2.109,4.5192,2.7115,3.0128
2.5178,2.9366,2.9417,2.6426,3.1759,3.3605,4.4373,2.9964,2.7571,2.6375,1.5211,1.7655,1.6408,2.2492,0.78793,2.8373,1.0922,0.53844,0.29913,3.3414,4.8765,4.6766,5.2304,4.9758,5.2851,4.627,4.557,5.2202,4.4972,5.1756
1.3981,1.1347,1.3701,1.5364,0,1.3773,2.0845,2.076,0,1.4672,1.8596,2.5029,2.2694,1.6415,1.9281,2.6224,2.0085,1.6499,0.69294,3.7204,2.2358,2.5612,2.5747,2.7202,1.8054,1.9996,1.4664,2.3877,2.4155,2.4213
6.1806,5.6187,8.99,7.8662,8.4281,8.4281,7.3044,7.8662,7.8662,9.5519,1.6856,1.6856,2.2475,3.9331,2.2475,8.99,0,0.56187,0,1.6856,16.294,17.98,20.227,17.418,13.485,15.171,12.923,15.732,15.171,18.542
0.51744,0.51744,1.5523,2.0697,1.0349,1.0349,0.51744,1.5523,1.0349,1.5523,1.5523,4.1395,4.6569,3.622,2.0697,4.1395,3.1046,2.0697,1.0349,6.2092,2.5872,1.0349,3.1046,3.622,3.622,2.0697,3.1046,2.0697,1.5523,2.5872
3.3868,1.6934,7.6203,3.3868,3.3868,9.3137,1.6934,5.9269,5.0802,5.0802,6.7736,5.9269,8.467,5.9269,0.8467,6.7736,5.0802,0,0.8467,9.3137,7.6203,12.701,10.16,9.3137,9.3137,13.547,6.7736,12.701,5.9269,11.007
8.7661,6.7116,11.896,9.6476,11.243,11.834,8.1468,10.93,10.666,11.146,4.3086,4.722,3.6955,5.1995,0.84223,8.2453,3.5762,0.46312,0,10.696,17.147,17.412,21.208,17.029,18.565,17.233,18.852,18.749,17.639,20.283
9.4465,5.702,5.702,6.419,6.139,6.419,6.4148,10.45,5.422,6.279,7.6028,5.159,3.008,2.431,0.717,5.299,5.299,0,0,7.153,11.981,11.981,13.415,12.134,8.29,12.261,11.281,15.995,10.127,10.127
20.045,17.129,20.054,17.868,24.437,17.129,23.708,17.494,21.503,14.578,0,2.9157,2.9157,2.1867,2.5512,12.392,0,1.8223,0.72891,5.8313,26.605,28.063,27.343,26.241,29.521,27.699,37.539,33.895,27.343,41.585
3.4015,1.5704,5.3554,4.9291,4.9687,5.4247,1.2778,7.8737,6.5297,6.3741,1.4038,1.9097,2.2381,2.2163,0.44815,3.4149,2.6863,0.29877,0.14938,3.1641,10.505,10.467,11.242,14.015,12.061,11.805,11.763,12.842,12.254,10.184
6.0434,7.0205,2.434,6.9444,4.3637,3.961,6.9873,4.3376,5.5217,6.4113,1.1298,3.7725,2.396,1.4667,0.24616,0.66512,2.0584,1.521,0,3.0501,10.101,11.546,9.7299,6.7145,10.047,11.398,10.114,8.2045,10.199,10.31
4.7963,5.6795,2.0237,5.6175,3.4755,3.0686,5.3611,3.4539,4.5098,5.1744,1.0109,3.4986,2.3572,1.3643,0.42645,0.77383,1.855,1.4094,0,3.0478,8.0204,9.2899,7.7856,5.5763,8.1202,9.1684,8.2491,6.8128,8.3182,8.1164
2.2757,1.9547,1.4728,1.4728,2.7972,1.7068,2.2374,1.4194,2.1888,2.0486,1.5378,1.7036,1.6029,1.2029,0.83555,2.5807,1.7036,0.53642,0.5039,2.1984,3.234,3.0601,2.7727,3.1646,2.745,2.7797,4.4645,2.7263,3.5746,3.6269
0.79206,0.79206,1.0184,1.1315,1.2447,1.9236,0.33945,1.1315,1.3578,1.3578,2.9419,3.734,3.2814,3.6208,2.4893,2.8288,1.8104,1.6973,1.471,2.4893,2.4893,3.5077,2.8288,3.1682,2.1499,2.263,2.8288,2.9419,2.263,2.6025
1.4456,1.1733,1.4167,1.5886,0,1.4241,2.1554,2.1466,0,1.5171,1.9228,2.588,2.3466,1.6973,1.9936,2.7116,2.0768,1.706,0.7165,3.847,2.3118,2.6483,2.6623,2.8128,1.8668,2.0676,1.5163,2.4689,2.4977,2.5036
1.5928,1.2521,1.5385,1.5421,1.8773,1.6505,1.4301,1.9333,1.8733,1.8218,2.184,1.2393,1.6511,2.168,0.71048,1.2959,1.534,0.64594,0.52886,2.5587,3.2952,3.2987,3.2444,3.1736,2.5751,3.1839,3.0135,3.065,2.8456,3.1816
1.3398,1.0947,1.922,2.3128,2.1837,2.0073,1.2511,2.1883,2.2576,2.5797,1.7522,1.7769,1.9127,1.8508,0.96259,2.5051,1.3696,0.96259,0,2.0806,4.0181,3.7005,3.3695,2.9987,2.5001,3.5934,2.9128,3.1861,3.0928,3.5046
12,6,16,15,14,17,32,41,23,19,1,0,0,5,0,8,3,0,8,12,39,38,51,20,25,46,40,43,38,44
42.022,41.022,8.7758,18.411,20.081,22.881,29.246,0,32.187,5.4109,0,10.387,9.5516,0,0,5.7758,16.833,8.3161,8.3161,36.35,16.187,18.822,28.987,2.7405,92.36,46.668,58.973,18.822,24.822,54.538
16.498,10,20,18,20,17.498,16.995,14.995,19.493,20.498,0,1,2,1,0,4,5,0,0,6,33.995,31.995,25.995,28,22.498,36.498,39.995,28.498,29.498,36.498
18,3,13,13,6,27,3,17,16,11,3,2,1,5,0,2,0,0,0,1,16,32,36,12,19,23,13,24,15,20
15.819,12.909,10.819,10.819,11,7.9093,14.909,12.819,12.819,10.819,0,4,3,0,3,8,0,3,0,5,23.637,20.637,21.637,18.728,15.909,20.637,23.728,18.728,13.728,19.728
8,21,8.8416,14.683,5,6.6832,15.525,11.842,5,22.842,0,3,0,5,0,2,1,1,0,2,37.208,40.525,21.525,24.683,7,18.525,6,14.683,7.8416,7
5.1877,23.735,8.1815,11.766,8.1692,5.1815,15.766,11.766,17.344,23.911,0,2.5969,1,4.1938,0,3,1,0,0,8.1877,44.652,45.23,32.092,26.495,23.526,35.695,43.458,41.858,31.501,39.877
18.095,4.9113,11.55,11.823,16.823,10.095,6.3669,12.367,17.095,9.3669,0,4.4556,6.1834,5.4556,0,13.095,8.9113,0,0.72782,17.55,12.55,13.55,17.006,16.734,24.373,20.645,36.101,19.462,24.917,23.101
4,4,4,2,8,5,2,8,5,4,0,2,2,0,2,5,0,1,1,0,6,11,10,14,7,8,14,11,12,9
5,0,1,3,3,1,0,1,4,1,2,6,6,3,0,14,4,0,4,10,2,5,2,4,9,4,10,3,4,5
6.9037,3,5,4.9518,5,5.9518,4,6.9518,5,12.904,2,0,1,1,0,1,2,0,0,5,16,17.952,9.9518,11.952,6.9518,12.952,7,9,6,6
7,7,6,7,6,5,6,5,6,3,0,1,2,0,0,11,0,4,3,5,8,7,7,9,10,10,16,9,9,17
7,2,1,7,0,7,0,6,6,3,1,1,1,2,1,2,3,0,0,2,14,12,15,4,8,11,10,6,3,7
2,0,2,1,4,3,0,0,4,3,3,3,3,4,4,5,3,2,0,3,2,8,4,5,5,8,8,4,6,6
2,1,4,1,5,3,1,5,5,5,3,3,2,2,0,2,0,0,0,2,12,12,13,8,6,11,6,7,5,7
3,3,4,5,3,4,3,3,1,2,0,1,3,2,2,7,0,0,0,2,4,2,5,4,3,3,4,7,3,4
3.8198,5.6395,4.4593,7.2791,5.8198,5.6395,5.6395,7.6395,2.8198,4.8198,0,3.6395,3.4593,3.6395,0,4.4593,0,2.4593,0,3.8198,11.279,9.2791,8.7384,10.099,8.6395,6.4593,7.6395,8.0989,6.6395,5.6395
2,1,2,3,2,4,3,5,1,2,0,3,1,2,2,3,0,0,0,1,9,6,6,3,6,6,1,8,1,5
2,5,2,2,2,2,8,2,2,3,1,3,2,0,0,2,3,0,0,3,4,4,6,4,5,4,4,5,5,6
5,5,2,4,3,4,9,4,2,2,0,1,0,1,0,1,2,1,0,2,7,7,7,6,7,6,6,8,7,8
2.5504,2.4128,3.7568,2.5504,2.688,3.8944,1.4816,3.5504,2.9632,2.688,1.2064,2.2064,2.1376,3.2064,0,0.20641,1.2064,0,0,2.2752,5.376,6.6513,6.2384,8.1008,4.6192,4.1008,5.032,9.8577,4.7568,5.8944
10.834,3.9599,10.061,10.437,8.7301,10.45,5.9269,10.061,11.871,8.7172,0.96702,2.5375,3.5045,5.4385,0.96702,5.0749,2.901,0,0,7.2488,12.391,16.24,16.831,19.771,13.39,18.311,24.724,20.498,15.794,26.008
4.0933,0.83733,6.1867,7.4427,4.0933,6.3493,1.4187,14.373,7.1867,10.117,5.1867,2.9307,2.0933,4.1867,0.83733,2.512,5.024,0,0,3.3493,20.816,12.28,13.536,14.373,9.8613,21.141,15.117,14.536,11.024,10.443
1,0,2.7165,1.765,1,2.4816,0,4.4019,3.8427,2.765,2.5592,1,3,3.6854,1,2,4.4019,0,0,3,9.167,8.2758,2.8427,8.167,6.6078,10.884,4,4.7165,5.7165,4.4816
0,1.9364,0.46822,2.4682,0.46822,2.9364,2.4047,1.9364,0,2.4682,4,4,5.9364,1,4,4.9364,6,6,4,5.9364,3.4047,2.9364,3.9364,3.4047,3.9364,2.9364,1.4682,4.4047,1.9364,1.9364
10.741,9.1497,8.8035,10.135,10.976,11.475,6.4575,11.252,12.436,12.277,0.93259,0.93259,1.7727,3.2498,0.46629,2.9084,2.8436,1.3989,0,5.0937,21.928,20.976,19.834,19.01,17.785,22.914,20.013,20.296,15.419,15.131
2.5518,2,0,2.5518,2,1.5518,2,1,2,1,0.88417,0,2,1,2.7683,3,0,2.8842,6.7683,1.8842,5.1036,4,4,4.5518,2,4.1036,4,4.1036,4,4
2,1,1,1,2,1,0,2,3,3,4,1,2,4,0,6,1,0,0,3,2,4,3,4,5,1,4,4,3,3
2.7266,2,2,1,1,1.7266,3,0.72661,1.7266,1,1,1,1,0,2,5.7266,0,2,1,0,3,1,3.7266,2.4532,5.7266,3.7266,8.7266,4.1798,6,7
19.314,15.591,11.755,12.449,18.314,11.478,22.288,14.576,18.356,11.284,1.4869,0.7227,1.4454,1.4869,0,16.298,0.7227,2.0978,0,13.981,29.124,27.389,26.291,25.985,28.764,31.528,31.403,25.943,26.5,34.224
5.5241,8.4653,5.2288,4.9246,5.8283,5.2258,5.6263,4.7197,7.1324,6.2258,0.60244,5.0239,4.3251,1,0.90366,8.8429,2.509,0.30122,0.30122,9.8458,10.94,10.036,9.3373,11.247,13.89,11.514,17.345,13.415,11.542,14.526
11.471,4.67,13.44,11.263,13.989,19.292,0.78197,17.664,11.253,13.502,4.0819,4.5589,4.3868,5.8178,3.9098,3.1279,0.78197,0,0,2.5179,20.339,32.017,35.433,28.145,15.919,20.455,18.897,28.804,17.131,26.214
2,1,2,2,3,1,2,1,1,1,2,2,1,0,2,1,0,1,0,0,4,2,2,4,1,4,2,6,2,3
1.1321,0.51907,2.1035,3.0036,0.87254,1.1035,1.1321,3.8751,0.51907,1.1321,3.613,5,5.226,1,4.613,6.226,1,5.226,2.613,2,4.563,1.976,4.338,3.2641,3.3916,6.5916,0.51907,3.6501,1.7451,3.3295
7.2245,3.1728,3.3457,2.5238,5.8735,2.9347,4.3457,3.5238,5.9347,5.5238,0.82189,2.6438,0.82189,1.2328,0.41095,2.0547,0.82189,1.2328,1.2328,2.6438,7.8095,7.4573,5.0476,8.4573,6.9864,4.7566,8.0464,7.8083,7.6966,11.279
7.827,3.2762,5.7936,8.5523,5.0349,4.0349,8.9643,4.7936,5.0349,8.7936,1.5174,1.5174,1.5174,0,0,4.5523,3.0349,0,0.75872,2.2762,16.758,10.725,4.7936,3.0349,13.587,16.242,10.07,3.0349,5.3111,7.3111
2,2.8923,2.7845,1,2,1.8923,2.7845,2.8923,2.8923,3,0,3,5,0,2,1.8923,0,2,1,0,3,3,2,3.8923,3,1,4,2,3,3.8923
3.8556,2.8556,3.0927,3.4742,2.8556,3.4742,4.0927,2.8556,2.8556,3.8556,2,2.2371,1.2371,0.61855,0,4.0927,1.2371,0,0,4.4742,5.3298,3.4742,3.0927,5.7113,7.9484,8.1855,5.7113,6.5669,4.7113,6.9484
4.7988,3.8793,3.9195,5.839,9.6379,5.7988,3.8793,3.8793,4.839,3.8793,0,0,1.9598,1.9195,0,6.839,2.8793,1,0,8.7586,7.7586,7.7586,11.638,8.6781,14.557,15.437,17.437,14.557,15.517,14.517
